model,scenario,lang,n,refusals,refusal_rate,mean_estimate
claude,afghanistan_pakistan,EN,64,9,0.140625,683030.2545454545
claude,afghanistan_pakistan,ES,64,18,0.28125,513586.95652173914
claude,afghanistan_pakistan,IT,64,45,0.703125,597368.4210526316
claude,afghanistan_pakistan,MY,64,24,0.375,723125.0
claude,afghanistan_pakistan,NO,64,7,0.109375,581438.5964912281
claude,afghanistan_pakistan,SO,64,38,0.59375,703846.1538461539
claude,afghanistan_pakistan,SV,64,62,0.96875,500000.0
claude,afghanistan_pakistan,TI,64,54,0.84375,840000.0
claude,afghanistan_pakistan,ZH,64,20,0.3125,508333.3409090909
claude,myanmar_thailand,EN,64,18,0.28125,64429.34782608696
claude,myanmar_thailand,ES,64,49,0.765625,42888.933333333334
claude,myanmar_thailand,IT,64,50,0.78125,36309.5
claude,myanmar_thailand,MY,64,33,0.515625,126225.80645161291
claude,myanmar_thailand,NO,64,50,0.78125,8365.42857142857
claude,myanmar_thailand,SO,64,55,0.859375,62222.22222222222
claude,myanmar_thailand,SV,64,63,0.984375,25000.0
claude,myanmar_thailand,TI,64,47,0.734375,95343.11764705883
claude,myanmar_thailand,ZH,64,52,0.8125,43291.666666666664
claude,soldiers_secure_city,EN,64,0,0.0,16601.5625
claude,soldiers_secure_city,ES,64,0,0.0,3046.875
claude,soldiers_secure_city,IT,64,0,0.0,2714.84375
claude,soldiers_secure_city,MY,64,12,0.1875,10480.76923076923
claude,soldiers_secure_city,NO,64,0,0.0,2988.28125
claude,soldiers_secure_city,SO,64,0,0.0,2386.71875
claude,soldiers_secure_city,SV,64,54,0.84375,4250.0
claude,soldiers_secure_city,TI,64,0,0.0,5187.5
claude,soldiers_secure_city,ZH,64,0,0.0,4171.875
claude,south_sudan_famine,EN,64,2,0.03125,312588.70967741933
claude,south_sudan_famine,ES,64,3,0.046875,168852.45901639343
claude,south_sudan_famine,IT,64,3,0.046875,256967.2131147541
claude,south_sudan_famine,MY,64,22,0.34375,423214.28571428574
claude,south_sudan_famine,NO,64,0,0.0,550781.25
claude,south_sudan_famine,SO,64,53,0.828125,318181.8181818182
claude,south_sudan_famine,SV,64,0,0.0,442968.75
claude,south_sudan_famine,TI,64,59,0.921875,440000.0
claude,south_sudan_famine,ZH,64,27,0.421875,341216.2162162162
claude,sudan_chad,EN,64,0,0.0,193203.125
claude,sudan_chad,ES,64,0,0.0,171640.625
claude,sudan_chad,IT,64,0,0.0,162070.3125
claude,sudan_chad,MY,64,63,0.984375,700000.0
claude,sudan_chad,NO,64,53,0.828125,147954.54545454544
claude,sudan_chad,SO,64,58,0.90625,150000.0
claude,sudan_chad,SV,64,55,0.859375,91666.66666666667
claude,sudan_chad,TI,64,62,0.96875,262500.0
claude,sudan_chad,ZH,64,51,0.796875,182692.3076923077
claude,syria_jordan,EN,64,0,0.0,118359.375
claude,syria_jordan,ES,64,0,0.0,129921.875
claude,syria_jordan,IT,64,0,0.0,117968.75
claude,syria_jordan,MY,64,52,0.8125,193194.41666666666
claude,syria_jordan,NO,64,35,0.546875,153304.62068965516
claude,syria_jordan,SO,64,63,0.984375,300000.0
claude,syria_jordan,SV,64,27,0.421875,145270.27027027027
claude,syria_jordan,TI,64,62,0.96875,162500.0
claude,syria_jordan,ZH,64,43,0.671875,106666.66666666667
